observation_id,record_id,frame_id,timestamp_seconds,frame_path,text,confidence,polygon_json,language_profile,ocr_version
airfryer-002-ocr-00049,airfryer-002,frame_000010,50.000,data_video/keyframes/airfryer-002/frame_000010.jpg,Chef,0.999824,"[[363.0,228.0],[389.0,223.0],[391.0,240.0],[366.0,245.0]]",de,PP-OCRv5
airfryer-002-ocr-00050,airfryer-002,frame_000010,50.000,data_video/keyframes/airfryer-002/frame_000010.jpg,Library Kitchen,0.976790,"[[340.0,269.0],[421.0,261.0],[423.0,285.0],[342.0,293.0]]",de,PP-OCRv5
airfryer-002-ocr-00051,airfryer-002,frame_000010,50.000,data_video/keyframes/airfryer-002/frame_000010.jpg,Puff Pastry,0.919148,"[[634.0,283.0],[727.0,300.0],[722.0,325.0],[629.0,308.0]]",de,PP-OCRv5
airfryer-002-ocr-00052,airfryer-002,frame_000010,50.000,data_video/keyframes/airfryer-002/frame_000010.jpg,SHEETS,0.945989,"[[650.0,307.0],[703.0,311.0],[702.0,325.0],[649.0,321.0]]",de,PP-OCRv5
airfryer-002-ocr-00053,airfryer-002,frame_000010,50.000,data_video/keyframes/airfryer-002/frame_000010.jpg,OREO,0.993998,"[[690.0,381.0],[769.0,368.0],[773.0,393.0],[694.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00054,airfryer-002,frame_000011,55.000,data_video/keyframes/airfryer-002/frame_000011.jpg,Chef,0.999738,"[[360.0,227.0],[386.0,221.0],[389.0,238.0],[364.0,244.0]]",de,PP-OCRv5
airfryer-002-ocr-00055,airfryer-002,frame_000011,55.000,data_video/keyframes/airfryer-002/frame_000011.jpg,Library Kitchen,0.949902,"[[337.0,267.0],[418.0,260.0],[420.0,284.0],[339.0,291.0]]",de,PP-OCRv5
airfryer-002-ocr-00056,airfryer-002,frame_000011,55.000,data_video/keyframes/airfryer-002/frame_000011.jpg,Puff Pastry,0.879193,"[[634.0,283.0],[726.0,299.0],[721.0,324.0],[629.0,308.0]]",de,PP-OCRv5
airfryer-002-ocr-00057,airfryer-002,frame_000011,55.000,data_video/keyframes/airfryer-002/frame_000011.jpg,SHEETS,0.980838,"[[651.0,306.0],[703.0,312.0],[702.0,326.0],[649.0,320.0]]",de,PP-OCRv5
airfryer-002-ocr-00058,airfryer-002,frame_000011,55.000,data_video/keyframes/airfryer-002/frame_000011.jpg,OREO,0.994051,"[[690.0,381.0],[769.0,368.0],[773.0,393.0],[694.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00059,airfryer-002,frame_000012,60.000,data_video/keyframes/airfryer-002/frame_000012.jpg,Chef,0.999591,"[[368.0,228.0],[395.0,222.0],[398.0,239.0],[372.0,245.0]]",de,PP-OCRv5
airfryer-002-ocr-00060,airfryer-002,frame_000012,60.000,data_video/keyframes/airfryer-002/frame_000012.jpg,Library Kitchen,0.983913,"[[348.0,268.0],[426.0,263.0],[427.0,285.0],[350.0,290.0]]",de,PP-OCRv5
airfryer-002-ocr-00061,airfryer-002,frame_000012,60.000,data_video/keyframes/airfryer-002/frame_000012.jpg,Puff Pastry,0.884865,"[[634.0,284.0],[726.0,299.0],[722.0,324.0],[630.0,309.0]]",de,PP-OCRv5
airfryer-002-ocr-00062,airfryer-002,frame_000012,60.000,data_video/keyframes/airfryer-002/frame_000012.jpg,SHEETS,0.932088,"[[650.0,307.0],[705.0,311.0],[704.0,325.0],[649.0,321.0]]",de,PP-OCRv5
airfryer-002-ocr-00063,airfryer-002,frame_000012,60.000,data_video/keyframes/airfryer-002/frame_000012.jpg,OREO,0.995720,"[[691.0,381.0],[769.0,368.0],[773.0,393.0],[695.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00064,airfryer-002,frame_000013,65.000,data_video/keyframes/airfryer-002/frame_000013.jpg,Chef,0.999439,"[[365.0,222.0],[393.0,217.0],[396.0,236.0],[368.0,241.0]]",de,PP-OCRv5
airfryer-002-ocr-00065,airfryer-002,frame_000013,65.000,data_video/keyframes/airfryer-002/frame_000013.jpg,Library Kitchen,0.993169,"[[344.0,262.0],[422.0,259.0],[423.0,281.0],[345.0,284.0]]",de,PP-OCRv5
airfryer-002-ocr-00066,airfryer-002,frame_000013,65.000,data_video/keyframes/airfryer-002/frame_000013.jpg,Puff Pastry,0.909781,"[[634.0,283.0],[727.0,300.0],[722.0,325.0],[629.0,308.0]]",de,PP-OCRv5
