dimension,group,mode,queries,mean_iou,r1_iou_0.3,temporal_map_queries_0.3,temporal_map_0.3,temporal_map_all_queries_0.3,r1_iou_0.5,temporal_map_queries_0.5,temporal_map_0.5,temporal_map_all_queries_0.5,r1_iou_0.7,temporal_map_queries_0.7,temporal_map_0.7,temporal_map_all_queries_0.7
query_type,state,dense,17,0.362691,0.411765,16,0.351757,0.331066,0.411765,16,0.357663,0.336624,0.294118,16,0.319252,0.300473
query_type,state,visual,17,0.386135,0.470588,16,0.379069,0.356771,0.411765,16,0.405357,0.381513,0.294118,16,0.380452,0.358073
query_type,state,hybrid,17,0.350715,0.411765,16,0.356427,0.335461,0.411765,16,0.357316,0.336297,0.294118,16,0.313837,0.295376
query_type,state,tri_hybrid,17,0.375371,0.411765,16,0.431682,0.406289,0.411765,16,0.435769,0.410136,0.352941,16,0.420090,0.395379
query_type,troubleshooting,bm25,9,0.288921,0.333333,9,0.332011,0.332011,0.333333,8,0.373512,0.332011,0.222222,7,0.284014,0.220899
query_type,troubleshooting,dense,9,0.398482,0.444444,9,0.505471,0.505471,0.444444,8,0.557292,0.495370,0.333333,7,0.494048,0.384259
query_type,troubleshooting,visual,9,0.355797,0.444444,9,0.479718,0.479718,0.333333,8,0.414682,0.368607,0.333333,7,0.426304,0.331570
query_type,troubleshooting,hybrid,9,0.287492,0.333333,9,0.404684,0.404684,0.333333,8,0.447917,0.398148,0.222222,7,0.369048,0.287037
query_type,troubleshooting,tri_hybrid,9,0.420867,0.444444,9,0.573765,0.573765,0.444444,8,0.582986,0.518210,0.444444,7,0.594841,0.462654
split,development,bm25,52,0.449273,0.480769,51,0.352755,0.345971,0.442308,49,0.343642,0.323817,0.423077,47,0.345329,0.312124
split,development,dense,52,0.451575,0.480769,51,0.426695,0.418490,0.480769,49,0.431308,0.406425,0.423077,47,0.420482,0.380051
split,development,visual,52,0.444196,0.500000,51,0.440000,0.431538,0.461538,49,0.438560,0.413259,0.423077,47,0.452584,0.409066
split,development,hybrid,52,0.546246,0.576923,51,0.504255,0.494558,0.576923,49,0.511294,0.481796,0.538462,47,0.508457,0.459566
split,development,tri_hybrid,52,0.609637,0.653846,51,0.559167,0.548413,0.653846,49,0.561797,0.529386,0.615385,47,0.578076,0.522492
split,source_disjoint_test,bm25,22,0.163230,0.181818,20,0.249719,0.227017,0.181818,19,0.263973,0.227976,0.136364,17,0.231735,0.179068
split,source_disjoint_test,dense,22,0.362142,0.363636,20,0.389770,0.354337,0.363636,19,0.393998,0.340271,0.318182,17,0.353403,0.273084
split,source_disjoint_test,visual,22,0.326927,0.363636,20,0.403754,0.367049,0.318182,19,0.374688,0.323594,0.318182,17,0.374126,0.289098
split,source_disjoint_test,hybrid,22,0.352963,0.363636,20,0.319186,0.290169,0.363636,19,0.332790,0.287409,0.318182,17,0.296541,0.229145
split,source_disjoint_test,tri_hybrid,22,0.398898,0.409091,20,0.487282,0.442983,0.409091,19,0.487692,0.421189,0.409091,17,0.492762,0.380770
