query_id,product_class,query_type,split,mode,top1_iou,r1_iou_0.3,temporal_ap_0.3,r1_iou_0.5,temporal_ap_0.5,r1_iou_0.7,temporal_ap_0.7
VQ-011,Air Fryer,maintenance,source_disjoint_test,dense,1.000000,1,0.638889,1,0.521875,1,0.596429
VQ-012,Air Fryer,maintenance,source_disjoint_test,dense,0.990000,1,0.500000,1,0.398485,1,0.398485
VQ-013,Air Fryer,troubleshooting,source_disjoint_test,dense,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-014,Air Fryer,troubleshooting,source_disjoint_test,dense,0.000000,0,0.090909,0,,0,
VQ-016,Air Fryer,safety,source_disjoint_test,dense,0.990777,1,0.293750,1,0.293750,1,0.241071
VQ-018,Espresso Machine,operation,development,dense,0.000000,0,0.200000,0,0.200000,0,0.200000
VQ-019,Espresso Machine,operation,development,dense,0.989881,1,0.926667,1,0.926667,1,0.926667
VQ-020,Espresso Machine,operation,development,dense,0.995370,1,0.500000,1,0.500000,1,0.500000
VQ-021,Espresso Machine,state,development,dense,0.000000,0,0.117330,0,0.117330,0,0.117330
VQ-022,Espresso Machine,state,development,dense,0.580511,1,0.655464,1,0.655464,0,0.415873
VQ-023,Espresso Machine,state,development,dense,0.000000,0,0.271368,0,0.271368,0,0.271368
VQ-024,Espresso Machine,component,development,dense,1.000000,1,0.494470,1,0.494470,1,0.549411
VQ-026,Espresso Machine,component,development,dense,1.000000,1,0.736219,1,0.721501,1,0.721501
VQ-027,Espresso Machine,maintenance,development,dense,0.000000,0,0.291667,0,0.291667,0,0.291667
VQ-029,Espresso Machine,maintenance,source_disjoint_test,dense,0.000000,0,0.500000,0,0.500000,0,
VQ-030,Espresso Machine,troubleshooting,source_disjoint_test,dense,0.795625,1,1.000000,1,1.000000,1,1.000000
VQ-035,Pressure Cooker,operation,development,dense,0.603205,1,0.371682,1,0.337793,0,0.167647
VQ-036,Pressure Cooker,operation,development,dense,0.000000,0,0.404329,0,0.189610,0,0.127273
VQ-037,Pressure Cooker,operation,development,dense,0.804350,1,0.495238,1,0.544762,1,0.605291
VQ-038,Pressure Cooker,state,development,dense,0.594328,1,0.489796,1,0.489796,0,0.290179
VQ-039,Pressure Cooker,state,development,dense,0.000000,0,0.166667,0,0.166667,0,0.166667
VQ-040,Pressure Cooker,state,development,dense,0.000000,0,0.145089,0,0.130952,0,0.130952
VQ-041,Pressure Cooker,component,development,dense,0.000000,0,0.500000,0,0.500000,0,
VQ-042,Pressure Cooker,component,development,dense,0.000000,0,0.277778,0,0.277778,0,0.277778
VQ-043,Pressure Cooker,component,development,dense,0.000000,0,0.000000,0,0.000000,0,0.000000
